busdate,yy,mm,dd,dong_id,guest_cnt,ww,hh,g_cnt,wd
2022-03-19,2022,3,19,1123072,4349,5,0,27,1
2022-03-20,2022,3,20,1123053,4378,6,0,20,1
2022-03-20,2022,3,20,1123080,2810,6,0,10,1
2022-03-20,2022,3,20,1123071,2516,6,0,6,1
2022-03-20,2022,3,20,1123065,6214,6,0,34,1
2022-03-20,2022,3,20,1123051,7173,6,0,28,1
2022-03-20,2022,3,20,1123076,6928,6,0,13,1
2022-03-20,2022,3,20,1123068,1602,6,0,3,1
2022-03-20,2022,3,20,1123066,4923,6,0,26,1
2022-03-20,2022,3,20,1123064,16650,6,0,165,1
2022-03-20,2022,3,20,1123063,6336,6,0,34,1
2022-03-20,2022,3,20,1123060,7462,6,0,38,1
2022-03-20,2022,3,20,1123058,9138,6,0,76,1
2022-03-20,2022,3,20,1123052,7696,6,0,86,1
2022-03-20,2022,3,20,1123067,3107,6,0,17,1
2022-03-20,2022,3,20,1123059,4018,6,0,28,1
2022-03-20,2022,3,20,1123079,8010,6,0,57,1
2022-03-20,2022,3,20,1123078,8393,6,0,50,1
2022-03-20,2022,3,20,1123077,11615,6,0,72,1
2022-03-20,2022,3,20,1123075,6345,6,0,49,1
2022-03-20,2022,3,20,1123074,1554,6,0,5,1
2022-03-20,2022,3,20,1123073,1595,6,0,2,1
2022-03-20,2022,3,20,1123072,3586,6,0,16,1
2022-03-21,2022,3,21,1123071,6424,0,0,6,0
2022-03-21,2022,3,21,1123065,16215,0,0,52,0
2022-03-21,2022,3,21,1123051,11527,0,0,34,0
2022-03-21,2022,3,21,1123076,15293,0,0,28,0
2022-03-21,2022,3,21,1123068,4209,0,0,4,0
2022-03-21,2022,3,21,1123066,12018,0,0,48,0
2022-03-21,2022,3,21,1123064,38296,0,0,398,0
2022-03-21,2022,3,21,1123063,11227,0,0,70,0
2022-03-21,2022,3,21,1123060,11898,0,0,99,0
2022-03-21,2022,3,21,1123058,20546,0,0,121,0
2022-03-21,2022,3,21,1123052,18011,0,0,157,0
2022-03-21,2022,3,21,1123067,7391,0,0,35,0
2022-03-21,2022,3,21,1123059,12293,0,0,57,0
2022-03-21,2022,3,21,1123079,16591,0,0,103,0
2022-03-21,2022,3,21,1123078,17842,0,0,85,0
2022-03-21,2022,3,21,1123077,19925,0,0,129,0
2022-03-21,2022,3,21,1123075,13356,0,0,43,0
2022-03-21,2022,3,21,1123074,3197,0,0,4,0
2022-03-21,2022,3,21,1123073,3439,0,0,3,0
2022-03-21,2022,3,21,1123072,7320,0,0,24,0
2022-03-21,2022,3,21,1123053,12325,0,0,45,0
2022-03-21,2022,3,21,1123080,5810,0,0,18,0
2022-03-22,2022,3,22,1123053,12752,1,0,42,0
2022-03-22,2022,3,22,1123080,5951,1,0,15,0
2022-03-22,2022,3,22,1123071,6317,1,0,3,0
2022-03-22,2022,3,22,1123065,16657,1,0,63,0
2022-03-22,2022,3,22,1123051,12509,1,0,51,0
2022-03-22,2022,3,22,1123076,15372,1,0,29,0
2022-03-22,2022,3,22,1123068,4193,1,0,1,0
2022-03-22,2022,3,22,1123066,12309,1,0,78,0
2022-03-22,2022,3,22,1123064,39375,1,0,421,0
2022-03-22,2022,3,22,1123063,11610,1,0,90,0
2022-03-22,2022,3,22,1123060,11737,1,0,95,0
2022-03-22,2022,3,22,1123058,21207,1,0,120,0
