busdate,yy,mm,dd,dong_id,guest_cnt,ww,hh,g_cnt,wd,동
2022-03-27,2022,3,27,1102067,1991,6,0,4,1,황학동
2022-03-27,2022,3,27,1102065,3348,6,0,9,1,신당5동
2022-03-27,2022,3,27,1102060,1672,6,0,16,1,을지로동
2022-03-27,2022,3,27,1102055,10299,6,0,57,1,명동
2022-03-28,2022,3,28,1102073,1192,0,0,12,0,동화동
2022-03-28,2022,3,28,1102068,4548,0,0,15,0,중림동
2022-03-28,2022,3,28,1102059,11204,0,0,143,0,광희동
2022-03-28,2022,3,28,1102054,26805,0,0,220,0,회현동
2022-03-28,2022,3,28,1102052,26724,0,0,118,0,소공동
2022-03-28,2022,3,28,1102065,5428,0,0,26,0,신당5동
2022-03-28,2022,3,28,1102060,3771,0,0,32,0,을지로동
2022-03-28,2022,3,28,1102067,3368,0,0,9,0,황학동
2022-03-28,2022,3,28,1102069,4190,0,0,45,0,신당동
2022-03-28,2022,3,28,1102071,3727,0,0,13,0,약수동
2022-03-28,2022,3,28,1102072,2415,0,0,25,0,청구동
